Name,Quantity,Price,Source
PCBA,1,$56.70,https://cart.jlcpcb.com/quote?spm=jlcpcb.Public.2006
3.7V Lipo Battery 3000mAh,1,$6.63,https://www.aliexpress.com/item/1005008218024646.html?spm=a2g0o.order_list.order_list_main.40.a6791802hYEa1R#nav-specification
Tactile buttons,1,$1.25,https://www.aliexpress.com/item/1005006880995108.html?spm=a2g0o.order_list.order_list_main.20.15821802o8oPo7
7.5 inch E-ink Display,1,$20.90,https://www.aliexpress.com/item/1005002297292956.html?spm=a2g0o.productlist.main.9.41889Ufj9UfjqC&algo_pvid=034ad3fc-b5d2-4123-9909-8de12962f2f5&algo_exp_id=034ad3fc-b5d2-4123-9909-8de12962f2f5-8&pdp_ext_f=%7B%22order%22%3A%22136%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2122.00%2120.90%21%21%2122.00%2120.90%21%40212e508f17791723050135304ed94d%2112000019970595362%21sea%21MY%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7a38ab92%3Bm03_new_user%3A-29895&curPageLogUid=uEnQHYUjn61n&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002297292956%7C_p_origin_prod%3A#nav-specification
M3 14mm Screws,1,$1.26,https://www.aliexpress.com/item/1005007264845313.html?spm=a2g0o.order_list.order_list_main.40.15821802o8oPo7
M3 OD4.2 L 4 Heatset inserts,1,$1.05,https://www.aliexpress.com/item/1005007659182107.html?spm=a2g0o.order_list.order_list_main.25.15821802o8oPo7
Total,,$87.79,
